timestamp,elapsed_s,arm,tps, ,temp_c,violation_flag,kernel_freq_mhz,actual_freq_mhz,throttle_bits
1774008108,377.777,B3,0,1744,81.8,1,1200,1200,0
1774008109,378.777,B3,0,1744,80.8,1,1200,1200,0
1774008110,379.781,B3,0,1744,81.8,1,1200,1200,0
1774008111,380.783,B3,0,1744,80.8,1,1200,1200,0
1774008112,381.785,B3,0,1744,80.8,1,1200,1200,0
1774008113,382.789,B3,0,1744,81.8,1,1200,1200,0
1774008114,383.79,B3,0,1744,79.9,0,1200,1200,0
1774008115,384.79,B3,0,1744,80.8,1,1200,1200,0
1774008116,385.79,B3,165.5989,1886,81.3,1,1200,1200,0
1774008117,386.793,B3,0.9483,1887,81.8,1,1200,1200,0
1774008118,387.793,B3,0,1887,81.8,1,1200,1200,0
1774008119,388.797,B3,0,1887,81.8,1,1200,1200,0
1774008120,389.801,B3,0,1887,81.3,1,1200,1200,0
1774008121,390.805,B3,0,1887,81.8,1,1200,1200,0
1774008122,391.809,B3,0,1887,81.3,1,1200,1200,0
1774008123,392.813,B3,0,1887,81.3,1,1200,1200,0
1774008124,393.817,B3,0,1887,80.8,1,1200,1200,0
1774008125,394.821,B3,0,1887,82.3,1,1200,1200,0
1774008126,395.822,B3,0,1887,81.3,1,1200,1200,0
1774008127,396.823,B3,0,1887,81.8,1,1200,1200,8
1774008128,397.825,B3,0,1887,81.8,1,1200,1200,0
1774008129,398.829,B3,0,1887,80.3,1,1200,1200,8
1774008130,399.833,B3,0,1887,80.8,1,1200,1200,0
1774008131,400.833,B3,0,1887,82.3,1,1200,1200,0
1774008132,401.837,B3,0,1887,81.3,1,1200,1200,0
1774008133,402.839,B3,0,1887,80.8,1,1200,1200,0
1774008134,403.839,B3,0,1887,81.3,1,1200,1200,0
1774008135,404.839,B3,0,1887,80.8,1,1200,1200,8
1774008136,405.84,B3,0,1887,81.8,1,1200,1200,0
1774008137,406.841,B3,0,1887,81.8,1,1200,1200,0
1774008138,407.841,B3,0,1887,80.8,1,1200,1200,0
1774008139,408.845,B3,0,1887,81.3,1,1200,1200,0
1774008140,409.849,B3,0,1887,81.3,1,1200,1200,0
1774008141,410.849,B3,0,1887,81.8,1,1200,1200,0
1774008142,411.853,B3,0,1887,81.3,1,1200,1200,0
1774008143,412.857,B3,0,1887,81.3,1,1200,1200,0
1774008144,413.861,B3,0,1887,79.9,0,1200,1200,0
1774008145,414.865,B3,0,1887,80.3,1,1200,1200,0
1774008146,415.865,B3,0,1887,80.3,1,1200,1200,0
1774008147,416.865,B3,139.7756,2037,80.3,1,1200,1200,0
1774008148,417.868,B3,0,2037,80.3,1,1200,1200,0
1774008149,418.868,B3,0,2037,80.3,1,1200,1200,0
1774008150,419.869,B3,0,2037,81.3,1,1200,1200,0
1774008151,420.869,B3,0,2037,81.8,1,1200,1200,0
1774008152,421.871,B3,0,2037,80.8,1,1200,1200,0
1774008153,422.871,B3,0,2037,80.8,1,1200,1200,0
1774008154,423.871,B3,0,2037,80.8,1,1200,1200,0
1774008155,424.872,B3,0,2037,81.3,1,1200,1200,0
1774008156,425.872,B3,0,2037,80.8,1,1200,1200,0
1774008157,426.872,B3,0,2037,80.8,1,1200,1200,0
1774008158,427.872,B3,0,2037,79.9,0,1200,1200,0
1774008159,428.872,B3,0,2037,80.8,1,1200,1200,0
1774008160,429.873,B3,0,2037,80.8,1,1200,1200,0
1774008161,430.873,B3,0,2037,81.3,1,1200,1200,0
1774008162,431.873,B3,0,2037,81.3,1,1200,1200,0
1774008163,432.873,B3,0,2037,81.3,1,1200,1200,0
1774008164,433.874,B3,0,2037,80.8,1,1200,1200,0
1774008165,434.874,B3,0,2037,80.8,1,1200,1200,8
1774008166,435.877,B3,0,2037,81.8,1,1200,1200,0
1774008167,436.881,B3,0,2037,81.3,1,1200,1200,0
1774008168,437.885,B3,0,2037,81.8,1,1200,1200,0
1774008169,438.889,B3,0,2037,81.3,1,1200,1200,0
1774008170,439.893,B3,0,2037,80.8,1,1200,1200,0
1774008171,440.897,B3,0,2037,81.3,1,1200,1200,0
1774008172,441.901,B3,0,2037,82.8,1,1200,1200,0
1774008173,442.902,B3,0,2037,82.3,1,1200,1200,0
1774008174,443.905,B3,0,2037,81.8,1,1200,1200,0
1774008175,444.905,B3,0,2037,81.3,1,1200,1200,0
1774008176,445.906,B3,0,2037,81.3,1,1200,1200,0
1774008177,446.909,B3,0,2037,80.8,1,1200,1200,0
1774008178,447.913,B3,142.4055,2187,80.3,1,1200,1200,0
